Company Name,Role/Position,Skills Required,Allowance,Location,Remote Option,Company Reputation Score
TalkTime,Speech Processing Intern,"Natural Language Generation, Voice Recognition",9700,Taguig City,Yes,5
MediaMagic,Media Planner Intern,"Media Buying, Audience Segmentation",5400,Pasig City,Yes,3
InfraGen,Infrastructure Specialist Intern,"System Design, Capacity Planning",7600,Iloilo City,No,4
DataDynamo,Data Warehouse Developer Intern,"Database Administration, Data Integration",9000,Manila City,Yes,5
PixelPower,Digital Artist Intern,"Digital Painting, Concept Art",4400,Cebu City,Yes,3
CyberKnight,Cybersecurity Specialist Intern,"Security Testing, Security Awareness Training",7300,Davao City,No,4
MarketMind,Marketing Manager Intern,"Brand Strategy, Product Marketing",6200,Quezon City,Yes,3
FinMaster,Financial Planner Intern,"Retirement Planning, Estate Planning",8700,Bacolod City,No,5
WebWhiz,Web Developer Intern,"Web Application Development, Content Management Systems",6800,Makati City,Yes,4
AIWizard,AI Developer Intern,"Machine Learning Algorithms, Neural Networks",9800,Taguig City,Yes,5
SocialSurge,Social Media Strategist Intern,"Social Media Campaigns, Online Advertising",5500,Pasig City,Yes,3
NetNavigator,Network Administrator Intern,"Network Security, Troubleshooting",7700,Iloilo City,No,4
VisualVortex,Visual Designer Intern,"User Interface Design, User Experience Design",4500,Cebu City,Yes,3
SecureSentry,Security Analyst,"Security Monitoring, Incident Handling", 7400,Davao City,No,4
AnalystNinja,Business Intelligence Analyst Intern,"Data Analysis, Reporting",6300,Quezon City,Yes,3
InvestGenius,Investment Analyst Intern,"Financial Analysis, Market Research",8800,Bacolod City,No,5
CodeGenius,Code Analyst Intern,"Code Review, Debugging",6900,Makati City,Yes,4
TalkGenius,Speech Analyst Intern,"Speech Analytics, Language Analysis",9900,Taguig City,Yes,5
MediaGenius,Media Analyst Intern,"Media Research, Audience Analysis",5600,Pasig City,Yes,3
InfraGenius,Infrastructure Analyst Intern,"System Performance, Capacity Management",7800,Iloilo City,No,4
DataGenius,Data Visualization Analyst Intern,"Data Storytelling, Information Design",9200,Manila City,Yes,5
PixelGenius,Pixel Artist,Digital Illustration, Game Art,4600,Cebu City,Yes,3
CyberGenius,Cybersecurity Engineer,Security Engineering, Security Architecture,7500,Davao City,No,4
MarketGenius,Marketing Engineer,Marketing Automation, Marketing Technology,6400,Quezon City,Yes,3
FinGenius,Financial Engineer,Financial Modeling, Risk Management,8900,Bacolod City,No,5
WebGenius,Web Engineer,Web Performance, Web Optimization,7000,Makati City,Yes,4
AIGenius,AI Engineer,Natural Language Processing, Computer Vision,10000,Taguig City,Yes,5
SocialGenius,Social Media Engineer,Social Media Platforms, Social Media Tools,5700,Pasig City,Yes,3
NetGenius,Network Engineer,Network Design, Network Implementation,7900,Iloilo City,No,4
DataVirtuoso,Data Scientist,Machine Learning, Data Mining,9300,Manila City,Yes,5
VisualVirtuoso,Visual Effects Artist,Compositing, Special Effects,4700,Cebu City,Yes,3
SecureVirtuoso,Security Architect,Security Design, Security Implementation,7600,Davao City,No,4 
