Company Name,Role/Position,Skills Required,Allowance,Location,Remote Option,Company Reputation Score
Tech Solutions Inc.,Web Development Intern,"HTML, CSS, JavaScript",5000,Iloilo City,Yes,4
DataWise Analytics,Data Analysis Intern,"Python, SQL, Excel",7000,Manila City,No,5
Insightful Data,Data Architect Intern,"Big Data, Hadoop, Spark",8500,Manila City,Yes,5
MediaMagic,Multimedia Design Intern,"Animation, Sound Design",3800,Cebu City,Yes,3
ShieldTech,Information Security Intern,"Risk Management, Security Audits",7000,Davao City,No,4
BrandBuilders,Brand Management Intern,"Market Research, Product Development",5700,Quezon City,Yes,3
WealthWise,Wealth Management Intern,"Portfolio Management, Financial Planning",8300,Bacolod City,No,5
DevCentral,Web Development Intern,"JavaScript Frameworks, Backend Development",6300,Makati City,Yes,4
SpeechTech,Speech Recognition Intern,"Acoustic Modeling, Speech Synthesis",9400,Taguig City,Yes,5
BuzzCreators,Content Marketing Intern,"Blogging, Copywriting, SEO Optimization",5100,Pasig City,Yes,3
NetSolutions,Network Engineer Intern,"Routing, Switching, Network Protocols",7300,Iloilo City,No,4
DataWhiz,Data Mining Intern,"Data Warehousing, Data Modeling",8600,Manila City,Yes,5
VisualVibe,Visual Effects Intern,"3D Modeling, Rendering",4000,Cebu City,Yes,3
CyberGuard,Cyber Threat Analyst Intern,"Incident Response, Forensics",7100,Davao City,No,4
MarketEdge,Market Research Analyst Intern,"Survey Design, Statistical Analysis",5800,Quezon City,Yes,3
FundFirst,Financial Analyst Intern,"Budgeting, Forecasting",8400,Bacolod City,No,5
WebWorks,Front End Developer Intern,"CSS Preprocessors, UI Libraries",6400,Makati City,Yes,4
VoiceAI,Voice Assistant Development Intern,"Dialog Systems, Voice User Interface",9500,Taguig City,Yes,5
ContentKing,Content Strategy Intern,"Editorial Planning, Content Promotion",5000,Pasig City,Yes,3
SystemSpec,Systems Administrator Intern,"Server Management, Automation",7200,Iloilo City,No,4
DataDive,Data Scientist Intern,"Predictive Modeling, Time Series Analysis",8700,Manila City,Yes,5
MotionMakers,Motion Graphics Intern,"After Effects, Cinema 4D",4100,Cebu City,Yes,3
SecureSphere,Security Engineer Intern,"Penetration Testing, Security Architecture",7000,Davao City,No,4
InvestIQ,Investment Banker Intern,"Mergers and Acquisitions, Equity Research",8200,Bacolod City,No,5
CodeCanvas,Software Developer Intern,"Object-Oriented Programming, Design Patterns",6500,Makati City,Yes,4
TalkTech,Chatbot Developer Intern,"Conversational AI, Natural Language Understanding",9300,Taguig City,Yes,5
MediaMogul,Digital Media Intern,"Video Production, Graphic Design",5200,Pasig City,Yes,3
InfraCore,Infrastructure Engineer Intern,"Cloud Infrastructure, DevOps Practices",7400,Iloilo City,No,4
DataLens,Data Visualization Intern,"D3.js, Charting Libraries",8800,Manila City,Yes,5
PixelPusher,Pixel Artist Intern,"Sprite Design, Animation",4200,Cebu City,Yes,3
CyberMind,Cybersecurity Analyst Intern,"Security Information and Event Management (SIEM), Threat Intelligence",7100,Davao City,No,4
MarketMaven,Marketing Coordinator Intern,"Social Media Advertising, Email Marketing",6000,Quezon City,Yes,3
FinFocus,Financial Controller Intern,"Auditing, Tax Preparation",8500,Bacolod City,No,5
WebWizards,Webmaster Intern,"Website Maintenance, SEO",6600,Makati City,Yes,4
AIInnovators,Artificial Intelligence Engineer Intern,"Deep Learning, Computer Vision",9600,Taguig City,Yes,5
SocialSync,Social Media Specialist Intern,"Influencer Marketing, Analytics Reporting",5300,Pasig City,Yes,3
NetNinja,Network Architect Intern,"SDN, Network Virtualization",7500,Iloilo City,No,4
DataDreamers,Data Engineer Intern,"ETL Processes, Data Pipelines",8900,Manila City,Yes,5
VisualVerse,Graphic Designer Intern,"Typography, Layout Design",4300,Cebu City,Yes,3
SecureShell,Security Consultant Intern,"Risk Assessment, Compliance",7200,Davao City,No,4
AnalystAce,Data Analyst Intern,"Statistical Modeling, Reporting",6100,Quezon City,Yes,3
InvestPro,Investment Manager Intern,"Asset Allocation, Financial Markets",8600,Bacolod City,No,5
CodeCrafters,Software Engineer Intern,"Agile Development, Software Architecture",6700,Makati City,Yes,4
TalkTime,Speech Processing Intern,"Natural Language Generation, Voice Recognition",9700,Taguig City,Yes,5
MediaMagic,Media Planner Intern,"Media Buying, Audience Segmentation",5400,Pasig City,Yes,3
InfraGen,Infrastructure Specialist Intern,"System Design, Capacity Planning",7600,Iloilo City,No,4
DataDynamo,Data Warehouse Developer Intern,"Database Administration, Data Integration",9000,Manila City,Yes,5
PixelPower,Digital Artist Intern,"Digital Painting, Concept Art",4400,Cebu City,Yes,3
CyberKnight,Cybersecurity Specialist Intern,"Security Testing, Security Awareness Training",7300,Davao City,No,4
MarketMind,Marketing Manager Intern,"Brand Strategy, Product Marketing",6200,Quezon City,Yes,3
FinMaster,Financial Planner Intern,"Retirement Planning, Estate Planning",8700,Bacolod City,No,5
WebWhiz,Web Developer Intern,"Web Application Development, Content Management Systems",6800,Makati City,Yes,4
AIWizard,AI Developer Intern,"Machine Learning Algorithms, Neural Networks",9800,Taguig City,Yes,5
SocialSurge,Social Media Strategist Intern,"Social Media Campaigns, Online Advertising",5500,Pasig City,Yes,3
NetNavigator,Network Administrator Intern,"Network Security, Troubleshooting",7700,Iloilo City,No,4
VisualVortex,Visual Designer Intern,"User Interface Design, User Experience Design",4500,Cebu City,Yes,3
SecureSentry,Security Analyst,"Security Monitoring, Incident Handling", 7400,Davao City,No,4
AnalystNinja,Business Intelligence Analyst Intern,"Data Analysis, Reporting",6300,Quezon City,Yes,3
InvestGenius,Investment Analyst Intern,"Financial Analysis, Market Research",8800,Bacolod City,No,5
CodeGenius,Code Analyst Intern,"Code Review, Debugging",6900,Makati City,Yes,4
TalkGenius,Speech Analyst Intern,"Speech Analytics, Language Analysis",9900,Taguig City,Yes,5
MediaGenius,Media Analyst Intern,"Media Research, Audience Analysis",5600,Pasig City,Yes,3
InfraGenius,Infrastructure Analyst Intern,"System Performance, Capacity Management",7800,Iloilo City,No,4
DataGenius,Data Visualization Analyst Intern,"Data Storytelling, Information Design",9200,Manila City,Yes,5
PixelGenius,Pixel Artist,Digital Illustration, Game Art,4600,Cebu City,Yes,3
CyberGenius,Cybersecurity Engineer,Security Engineering, Security Architecture,7500,Davao City,No,4
MarketGenius,Marketing Engineer,Marketing Automation, Marketing Technology,6400,Quezon City,Yes,3
FinGenius,Financial Engineer,Financial Modeling, Risk Management,8900,Bacolod City,No,5
WebGenius,Web Engineer,Web Performance, Web Optimization,7000,Makati City,Yes,4
AIGenius,AI Engineer,Natural Language Processing, Computer Vision,10000,Taguig City,Yes,5
SocialGenius,Social Media Engineer,Social Media Platforms, Social Media Tools,5700,Pasig City,Yes,3
NetGenius,Network Engineer,Network Design, Network Implementation,7900,Iloilo City,No,4
DataVirtuoso,Data Scientist,Machine Learning, Data Mining,9300,Manila City,Yes,5
VisualVirtuoso,Visual Effects Artist,Compositing, Special Effects,4700,Cebu City,Yes,3
SecureVirtuoso,Security Architect,Security Design, Security Implementation,7600,Davao City,No,4
AnalystVirtuoso,Business Intelligence Developer,Data Warehousing, ETL Development,6500,Quezon City,Yes,3
InvestVirtuoso,Investment Strategist,Investment Planning, Portfolio Management,9000,Bacolod City,No,5
CodeVirtuoso,Software Architect,Software Design, Software Development,7100,Makati City,Yes,4
TalkVirtuoso,Speech Scientist,Speech Recognition, Speech Synthesis,10100,Taguig City,Yes,5
MediaVirtuoso,Media Strategist,Media Planning, Media Buying,5800,Pasig City,Yes,3
InfraVirtuoso,Infrastructure Architect,Cloud Computing, System Architecture,8000,Iloilo City,No,4
DataMaster,Data Analyst,Data Interpretation, Statistical Analysis,9400,Manila City,Yes,5
VisualMaster,Visual Effects Supervisor,Visual Effects Production, 3D Animation,4800,Cebu City,Yes,3
SecureMaster,Security Manager,Security Operations, Incident Management,7700,Davao City,No,4
AnalystMaster,Business Analyst,Process Analysis, Requirements Elicitation,6600,Quezon City,Yes,3
InvestMaster,Investment Banker,Financial Advisory, Mergers and Acquisitions,9100,Bacolod City,No,5
CodeMaster,Software Developer,Full Stack Development, Agile Methodologies,7200,Makati City,Yes,4
TalkMaster,Speech Engineer,Voice Technology, Natural Language Understanding,10200,Taguig City,Yes,5
MediaMaster,Media Buyer,Media Negotiation, Advertising Campaigns,5900,Pasig City,Yes,3
InfraMaster,Infrastructure Engineer,Network Administration, Server Management,8100,Iloilo City,No,4
DataGuru,Data Engineer,Data Pipeline Development, Data Integration,9500,Manila City,Yes,5
VisualGuru,Visual Designer,User Experience (UX) Design, User Interface (UI) Design,4900,Cebu City,Yes,3
SecureGuru,Security Consultant,Cybersecurity Strategy, Risk Management,7800,Davao City,No,4
AnalystGuru,Business Intelligence Analyst,Data Visualization, Reporting,6700,Quezon City,Yes,3
InvestGuru,Investment Manager,Portfolio Management, Financial Planning,9200,Bacolod City,No,5
CodeGuru,Software Architect,Software Design Patterns, System Architecture,7300,Makati City,Yes,4
TalkGuru,Speech Scientist,Speech Processing, Natural Language Generation,10300,Taguig City,Yes,5
MediaGuru,Media Planner,Media Strategy, Media Analytics,6000,Pasig City,Yes,3
InfraGuru,Infrastructure Architect,Cloud Solutions, DevOps,8200,Iloilo City,No,4
DataGen,Data Scientist,Machine Learning Engineering, Deep Learning,9600,Manila City,Yes,5
VisualGen,Visual Effects Supervisor,Visual Effects Directing, 3D Modeling,5000,Cebu City,Yes,3
SecureGen,Security Engineer,Security Automation, Security Orchestration,7900,Davao City,No,4
AnalystGen,Business Intelligence Developer,Data Modeling, ETL Development,6800,Quezon City,Yes,3
InvestGen,Investment Strategist,Financial Modeling, Investment Analysis,9300,Bacolod City,No,5
CodeGen,Software Architect,Microservices Architecture, API Design,7400,Makati City,Yes,4
TalkGen,Speech Engineer,Voice User Interface (VUI) Design, Conversational AI,10400,Taguig City,Yes,5
MediaGen,Media Strategist,Content Marketing, Social Media Marketing,6100,Pasig City,Yes,3
InfraGen,Infrastructure Architect,System Integration, System Optimization,8300,Iloilo City,No,4
New Horizon Tech,AI Ethics Intern,"Philosophy, Machine Learning, Law",6200,Baguio City,Yes,3
Stellar Solutions,Aerospace Engineering Intern,"CAD, Thermodynamics, Fluid Dynamics",9100,Pasay City,No,4
Green Earth Co.,Environmental Science Intern,"Data Analysis, Conservation, Field Work",5800,Dumaguete City,No,3
Future Foods Inc.,Food Technology Intern,"Chemistry, Microbiology, Quality Control",7500,Laguna,Yes,4
Artistic Minds Ltd.,Museum Curation Intern,"History, Research, Cataloging",4500,Antique,No,3
BioTech Innovations,Bioinformatics Intern,"Python, Genomics, Statistics",8800,General Santos City,Yes,4
Oceanic Research,Marine Biology Intern,"Ecology, Data Collection, Scuba Diving",5200,Palawan,No,3
Global Transit,Logistics Intern,"Supply Chain, Data Analysis, Optimization",7100,Cavite,Yes,4
Creative Spark,Game Development Intern,"C#, Unity, Game Design",8000,Zamboanga City,Yes,4
Quantum Leap Systems,Blockchain Development Intern,"Solidity, Ethereum, Web3.js",9200,Makati City,Yes,5
Synapse Solutions,Cloud Security Intern,"AWS Security, Azure Security, Network Security",7800,Taguig City,No,4
Innovision Labs,Computer Vision Intern,"Python, OpenCV, TensorFlow",8900,Quezon City,Yes,5
Apex Digital,Front-End Engineer Intern,"React, Redux, HTML, CSS",7100,Cebu City,Yes,4
ByteStream Dynamics,Back-End Developer Intern,"Node.js, Express.js, PostgreSQL",7500,Davao City,No,4
CodeSmith Industries,Full Stack JavaScript Intern,"React, Node.js, MongoDB",7900,Pasig City,Yes,5
Visionary Media,Video Editor Intern,"Adobe Premiere Pro, After Effects, DaVinci Resolve",5800,Manila City,Yes,3
Pixel Canvas,UI Animation Intern,"Adobe After Effects, Lottie, Bodymovin",6500,Iloilo City,Yes,4
Audio Alchemy,Sound Design Intern,"Pro Tools, Logic Pro X, Sound Effects Editing",4800,Bacolod City,Yes,3
StreamFlow Studios,Live Streaming Technician Intern,"OBS Studio, Wirecast, Video Encoding",5200,General Santos City,No,3
RoboTech Dynamics,Robotics Programming Intern,"Python, ROS, C++",8600,Laguna,No,4
AeroVision Technologies,Drone Videography Intern,"Drone Operation, Aerial Cinematography, Video Editing",6200,Palawan,Yes,3
SmartAgri Solutions,IoT Development Intern,"Arduino, Raspberry Pi, MQTT",7000,Cavite,No,4
EduTech Innovations,E-learning Platform Developer Intern,"PHP, Laravel, MySQL",6800,Zamboanga City,Yes,4
HealthLink Systems,Healthcare IT Support Intern,"Network Troubleshooting, Hardware Maintenance",5500,Baguio City,No,3
FinTech Global,Financial Software Tester Intern,"Selenium, JUnit, Financial Systems",7300,Pasay City,No,4
GameCraft Studios,Game Programmer Intern,"C#, Unity, Unreal Engine",8800,Dumaguete City,Yes,5
Artifex Digital,3D Modeler Intern,"Blender, Maya, ZBrush",6100,Antique,Yes,3
Motion State,Motion Capture Technician Intern,"MotionBuilder, Vicon, Data Processing",5900,General Santos City,No,3
Virtual Reality Hub,VR Development Intern,"Unity, C#, VR SDKs",8400,Palawan,Yes,5
Augmented Reality Labs,AR Development Intern,"Unity, C#, ARCore, ARKit",8100,Cavite,Yes,4
CyberDefense Corp,Security Operations Center (SOC) Intern,"SIEM, Threat Analysis, Incident Handling",7600,Zamboanga City,No,4
DataMinds AI,NLP Engineer Intern,"Python, NLTK, Transformers",9100,Baguio City,Yes,5
Signal Processing Inc.,Audio Engineer Intern,"Digital Signal Processing, Acoustics",6700,Pasay City,No,3
Quantum Computing Ltd.,Quantum Software Intern,"Qiskit, Cirq, Python",9500,Dumaguete City,Yes,5
SpaceTech Industries,Satellite Image Processing Intern,"Python, Remote Sensing, GIS",7200,Antique,No,4
Green Energy Systems,Smart Grid Intern,"Power Systems, Data Analysis, Python",6900,General Santos City,No,4
WaterWise Technologies,Hydroinformatics Intern,"Python, Hydrology, Data Modeling",7100,Palawan,No,4
Future Mobility Corp,Autonomous Vehicle Software Intern,"C++, Robotics, Computer Vision",9300,Cavite,No,5
AgriTech Analytics,Precision Agriculture Intern,"Data Science, GIS, Agricultural Systems",6600,Zamboanga City,Yes,3
Construction Innovations,BIM Modeler Intern,"Revit, AutoCAD, Navisworks",6300,Baguio City,No,3
LegalTech Solutions,Legal Informatics Intern,"Data Analysis, Legal Databases, Python",7400,Pasay City,No,4
Fashion Forward Inc.,Fashion Tech Intern,"E-commerce, Digital Marketing, Data Analysis",5700,Dumaguete City,Yes,3
Sports Analytics Group,Sports Data Analyst Intern,"R, Statistical Modeling, Sports Knowledge",6400,Antique,Yes,4
Music Maestro Studios,Music Technology Intern,"Digital Audio Workstations, MIDI",4900,General Santos City,Yes,3
TravelWise Networks,Tourism Informatics Intern,"Data Analysis, Recommender Systems",6100,Palawan,Yes,4
Logistics AI,Supply Chain Analyst Intern,"Data Mining, Optimization Algorithms",7700,Cavite,No,4
HR Tech Innovations,Talent Acquisition Intern,"Data Analysis, HR Software",5300,Zamboanga City,Yes,3
Real Estate Analytics,Property Tech Intern,"Data Visualization, Market Analysis",6000,Baguio City,Yes,4
Environmental Monitoring Corp,Remote Sensing Analyst Intern,"GIS, Image Processing",6800,Pasay City,No,3
Public Health Informatics,Health Data Analyst Intern,"SQL, Epidemiology, Data Visualization",7200,Dumaguete City,No,5
Cultural Heritage Digitization,Digital Archivist Intern,"Metadata, Digital Preservation",4500,Antique,No,3
Animal Welfare Tech,Animal Biometrics Intern,"Image Recognition, Data Analysis",6500,General Santos City,Yes,4
Space Exploration Agency,Mission Control Systems Intern,"Linux, Networking, Real-time Systems",8500,Palawan,No,4
Oceanographic Institute,Marine Data Scientist Intern,"Python, Oceanography, Data Analysis",7900,Cavite,Yes,5
Disaster Response Tech,Emergency Management Systems Intern,"GIS, Data Analysis, Communication Systems",7000,Zamboanga City,No,4
Accessibility Solutions,Assistive Technology Developer Intern,"User Research, Software Development",7600,Baguio City,Yes,4
Sustainable Energy Corp,Renewable Energy Analyst Intern,"Data Analysis, Energy Modeling",6300,Pasay City,No,3
Ethical AI Research,AI Safety Intern,"Machine Learning, Ethics, Software Development",8800,Dumaguete City,Yes,5
Citizen Science Platform,Data Curator Intern,"Data Management, Quality Control",5100,Antique,Yes,3
Global Health Network,Telemedicine Platform Intern,"Web Development, Healthcare Systems",7400,General Santos City,Yes,4
Smart City Initiative,Urban Planning Analyst Intern,"GIS, Data Analysis, Policy",6700,Palawan,No,3
Food Security Tech,Agricultural Data Scientist Intern,"Data Science, Agriculture",7100,Cavite,Yes,4
Wildlife Conservation Tech,Biodiversity Informatics Intern,"Data Analysis, Ecology",6900,Zamboanga City,No,3
Financial Inclusion Tech,Microfinance Data Analyst Intern,"Data Analysis, Financial Modeling",7300,Baguio City,Yes,4
Digital Art Collective,Generative Art Intern,"Python, Creative Coding",5500,Pasay City,Yes,3
Historical Preservation Tech,Digital Restoration Intern,"Image Processing, 3D Modeling",6200,Dumaguete City,Yes,3
Language Learning Platform,Computational Linguistics Intern,"NLP, Python",7800,Antique,Yes,5
Space Tourism Ventures,Astronaut Training Simulation Dev Intern,"Unity, C#, Physics",8200,General Santos City,No,4
Underwater Exploration Tech,Submersible Robotics Intern,"ROS, Robotics, Control Systems",7500,Palawan,No,4
Virtual Museum Project,Interactive Exhibit Developer Intern,"Unity, User Experience",6600,Cavite,Yes,4
Wearable Tech Innovations,Biometric Data Analyst Intern,"Data Analysis, Signal Processing",7000,Zamboanga City,No,4
Assistive Robotics Lab,Human-Robot Interaction Intern,"ROS, Robotics, Psychology",7900,Baguio City,No,5
Sustainable Agriculture AI,Crop Disease Detection Intern,"Computer Vision, Machine Learning",8100,Pasay City,Yes,5
Personalized Medicine Initiative,Genomic Data Analyst Intern,"Bioinformatics, Statistics",8400,Dumaguete City,No,5
Smart Home Automation,Home Automation Systems Intern,"IoT, Python, Networking",6400,Antique,No,4
Educational Gaming Company,Educational Game Developer Intern,"Unity, C#, Game Design",7200,General Santos City,Yes,4
Cultural Analytics Project,Digital Humanities Intern,"Data Analysis, Text Mining",5900,Palawan,Yes,3
Space Habitat Design,Architectural Visualization Intern,"3D Modeling, Rendering",6300,Cavite,Yes,3
Precision Forestry Corp,Forestry Informatics Intern,"GIS, Remote Sensing, Data Analysis",6800,Zamboanga City,No,4
Renewable Energy Grid Management,Grid Optimization Intern,"Power Systems, Optimization",7700,Baguio City,No,4
Social Impact Analytics,Nonprofit Data Analyst Intern,"Data Analysis, Social Science",6100,Pasay City,Yes,3
Urban Mobility Solutions,Transportation Data Analyst Intern,"Data Analysis, GIS",7400,Dumaguete City,Yes,4
Wildlife Tracking Initiative,Telemetry Data Analyst Intern,"Data Analysis, Ecology",6500,Antique,Yes,4
Financial Trading Platform,Algorithmic Trading Intern,"Python, Finance, Quantitative Analysis",8900,General Santos City,No,5
E-sports Analytics,Competitive Gaming Analyst Intern,"Data Analysis, Statistics, Gaming Knowledge",6000,Palawan,Yes,3
Virtual Concert Platform,Interactive Media Developer Intern,"Web Development, Multimedia",6900,Cavite,Yes,4
Smart Textiles Research,Wearable Sensor Integration Intern,"Electronics, Programming",7100,Zamboanga City,No,4
Precision Livestock Farming,Livestock Data Analyst Intern,"Data Analysis, Animal Science",6700,Baguio City,Yes,3
Sustainable Fisheries Tech,Aquaculture Informatics Intern,"Data Analysis, Marine Biology",7300,Pasay City,Yes,4
Mental Wellness App,UX Researcher Intern,"User Research, Psychology",5600,Dumaguete City,Yes,3
Digital Storytelling Platform,Interactive Narrative Designer Intern,"Writing, Multimedia",5200,Antique,Yes,3
Space Law Institute,Space Policy Analyst Intern,"Research, Law, Policy",7800,General Santos City,No,4
Underground Farming Tech,Vertical Farming Systems Intern,"IoT, Agriculture",7000,Palawan,No,4
Virtual Language Exchange,Language Technology Intern,"NLP, Web Development",7500,Cavite,Yes,4
Citizen Journalism Platform,Data Verification Intern,"Fact-checking, Data Analysis",5800,Zamboanga City,Yes,3
Global Education Network,Online Course Developer Intern,"Instructional Design, Web Development",6200,Baguio City,Yes,4
Accessible Tourism Initiative,Universal Design Intern,"User Research, Design Principles",5400,Pasay City,Yes,3
Space Debris Removal,Orbital Mechanics Simulation Intern,"Physics, Programming",8300,Dumaguete City,No,4
Ethical Hacking Group,Vulnerability Assessment Intern,"Cybersecurity, Ethical Hacking",7100,Antique,No,4
Bioprinting Research Lab,3D Bioprinting Intern,"CAD, Biology, Materials Science",7900,General Santos City,No,4
Quantum Cryptography Corp,Quantum Security Intern,"Cryptography, Physics, Programming",9600,Palawan,No,5
Sustainable Construction Tech,Green Building Design Intern,"Architecture, Environmental Science",6600,Cavite,No,3
Digital Archaeology Project,3D Reconstruction Intern,"3D Modeling, History",6100,Zamboanga City,Yes,3
Smart Packaging Solutions,Packaging Technology Intern,"Materials Science, Engineering",6900,Baguio City,No,3
Personalized Fitness App,Fitness Data Analyst Intern,"Data Analysis, Exercise Science",7200,Pasay City,Yes,4
Virtual Fashion Show,Digital Fashion Designer Intern,"3D Modeling, Fashion Design",5900,Dumaguete City,Yes,3
Brain-Computer Interface Lab,BCI Research Intern,"Neuroscience, Signal Processing",8800,Antique,No,5
Space Resources Utilization,Extraterrestrial Mining Intern,"Engineering, Geology",8100,General Santos City,No,4
Ocean Cleanup Initiative,Marine Robotics Intern,"Robotics, Engineering",7600,Palawan,No,4
Virtual Art Gallery,Web Developer Intern,"React, Three.js",7300,Cavite,Yes,4
Smart City Governance,Civic Tech Intern,"Data Analysis, Public Policy",6400,Zamboanga City,No,3
Food Waste Reduction Tech,Food Science Informatics Intern,"Data Analysis, Food Science",6700,Baguio City,Yes,3
Global Disaster Mapping,Remote Sensing Analyst Intern,"GIS, Disaster Management",7000,Pasay City,No,4
Accessible Gaming Initiative,Game Accessibility Tester Intern,"Game Testing, Disability Awareness",5300,Dumaguete City,Yes,3
Space Agriculture Research,Plant Science Informatics Intern,"Data Analysis, Biology",7700,Antique,No,4
Underwater Habitat Research,Marine Engineering Intern,"Engineering, Marine Biology",7400,General Santos City,No,4
Virtual Reality Therapy,VR Application Developer Intern,"Unity, C#, Psychology",8500,Palawan,Yes,5
AI-Powered Education Tools,Educational Data Mining Intern,"Data Mining, Education",7100,Cavite,Yes,4
Smart Infrastructure Management,Civil Engineering Informatics Intern,"Data Analysis, Civil Engineering",6800,Zamboanga City,No,3
Precision Medicine Diagnostics,Medical Imaging Analyst Intern,"Image Processing, Medicine",7900,Baguio City,No,4
Sustainable Urban Development,Urban Informatics Intern,"Data Analysis, Urban Planning",6500,Pasay City,No,3
Virtual Cultural Heritage Site,3D Artist Intern,"3D Modeling, Texturing",6000,Dumaguete City,Yes,3
Brainwave Music Generation,Neurofeedback Technology Intern,"Signal Processing, Music",7600,Antique,No,4
Spacecraft Propulsion Systems,Aerospace Engineering Intern,"Thermodynamics, Propulsion",8200,General Santos City,No,4
Ocean Current Energy,Marine Renewable Energy Intern,"Engineering, Oceanography",7300,Palawan,No,4
Virtual Job Fair Platform,Web Development Intern,"Angular, TypeScript",7000,Cavite,Yes,4
Smart Waste Management,Environmental Informatics Intern,"Data Analysis, Environmental Science",6300,Zamboanga City,No,3
Personalized Nutrition App,Nutrition Informatics Intern,"Data Analysis, Nutrition Science",6600,Baguio City,Yes,3
Global Climate Change Modeling,Climate Data Analyst Intern,"Data Analysis, Climate Science",7500,Pasay City,No,4
Accessible Transportation Systems,Transportation Planning Intern,"Data Analysis, Urban Planning",6100,Dumaguete City,No,3
Space Food Production,Astrobiology Research Intern,"Biology, Chemistry",7800,Antique,No,4
Underwater Archaeology,Marine Archaeologist Intern,"Archaeology, Marine Science",7100,General Santos City,No,4
Virtual Reality Training Simulations,VR Trainer Developer Intern,"Unity, Instructional Design",8000,Palawan,Yes,4
AI-Powered Legal Research,Legal Tech Developer Intern,"NLP, Legal Databases",7400,Cavite,Yes,4
Smart Building Management Systems,Building Automation Intern,"IoT, Engineering",6700,Zamboanga City,No,3
Precision Livestock Health Monitoring,Veterinary Informatics Intern,"Data Analysis, Veterinary Science",6900,Baguio City,Yes,3
Sustainable Fashion E-commerce,Fashion Informatics Intern,"Data Analysis, E-commerce",6200,Pasay City,Yes,3
Global Pandemic Modeling,Epidemiological Data Analyst Intern,"Data Analysis, Public Health",7700,Dumaguete City,No,5
Accessible Learning Technologies,Educational Software Developer Intern,"Web Development, Accessibility",7000,Antique,Yes,4
Space Telescope Data Analysis,Astrophysics Research Intern,"Python, Astronomy",8400,General Santos City,No,5
Ocean Acidification Research,Marine Chemistry Intern,"Chemistry, Marine Science",7200,Palawan,No,4
Virtual Reality Fitness Games,VR Game Developer Intern,"Unity, C#, Fitness",7500,Cavite,Yes,4
AI-Driven Music Composition,Computational Musicology Intern,"Music Theory, AI",6800,Zamboanga City,Yes,3
Smart Grid Cybersecurity,Power Systems Security Intern,"Cybersecurity, Power Systems",7900,Baguio City,No,4
Personalized Language Learning,Language AI Developer Intern,"NLP, Software Development",7100,Pasay City,Yes,5
